,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
798,2015-08-15,5921.440898084925,3943.447298825872,5970.506804919895,5921.440061512684,5921.441564362184,-1004.301238985276,-1004.301238985276,-1004.301238985276,-719.5176400177907,-719.5176400177907,-719.5176400177907,-284.7835989674853,-284.7835989674853,-284.7835989674853,0.0,0.0,0.0,4917.139659099649
799,2015-08-16,5922.198409796832,4430.423519948619,6522.842583594899,5922.197478692705,5922.199197693405,-499.38020116045624,-499.38020116045624,-499.38020116045624,-194.74430787898504,-194.74430787898504,-194.74430787898504,-304.63589328147117,-304.63589328147117,-304.63589328147117,0.0,0.0,0.0,5422.818208636375
800,2015-08-17,5922.955921508738,5603.636432743109,7686.210589291508,5922.954804054357,5922.956992256152,689.0980547836235,689.0980547836235,689.0980547836235,1012.5963136094139,1012.5963136094139,1012.5963136094139,-323.4982588257904,-323.4982588257904,-323.4982588257904,0.0,0.0,0.0,6612.053976292362
801,2015-08-18,5923.713433220644,4733.56381600906,6789.615330062036,5923.712114593584,5923.7146307757985,-118.11803669796296,-118.11803669796296,-118.11803669796296,223.28109760071445,223.28109760071445,223.28109760071445,-341.39913429867744,-341.39913429867744,-341.39913429867744,0.0,0.0,0.0,5805.595396522681
802,2015-08-19,5924.470944932551,4326.5721007565335,6370.696204288513,5924.469438396837,5924.472302238964,-561.9450088196941,-561.9450088196941,-561.9450088196941,-203.56657239914335,-203.56657239914335,-203.56657239914335,-358.37843642055066,-358.37843642055066,-358.37843642055066,0.0,0.0,0.0,5362.525936112857
803,2015-08-20,5925.228456644457,4329.867299705216,6396.762998830715,5925.226769887673,5925.230054626968,-558.0818683311055,-558.0818683311055,-558.0818683311055,-183.6010049996821,-183.6010049996821,-183.6010049996821,-374.48086333142345,-374.48086333142345,-374.48086333142345,0.0,0.0,0.0,5367.1465883133515
804,2015-08-21,5925.985968356364,4606.731863077355,6737.927759506406,5925.984089365076,5925.9877704998835,-324.1971345813449,-324.1971345813449,-324.1971345813449,65.55211408733156,65.55211408733156,65.55211408733156,-389.7492486686765,-389.7492486686765,-389.7492486686765,0.0,0.0,0.0,5601.788833775019
805,2015-08-22,5926.74348006827,3738.042645696258,5827.303930114607,5926.74124555872,5926.745475107934,-1123.735866931461,-1123.735866931461,-1123.735866931461,-719.5176400184529,-719.5176400184529,-719.5176400184529,-404.2182269130082,-404.2182269130082,-404.2182269130082,0.0,0.0,0.0,4803.00761313681
806,2015-08-23,5927.500991780177,4262.3503474231275,6436.562973698398,5927.498530865036,5927.503298648676,-612.652766506009,-612.652766506009,-612.652766506009,-194.74430787837267,-194.74430787837267,-194.74430787837267,-417.9084586276363,-417.9084586276363,-417.9084586276363,0.0,0.0,0.0,5314.848225274168
807,2015-08-24,5928.258503492083,5487.419807937178,7636.034760092379,5928.255730482652,5928.261193281454,581.774669442876,581.774669442876,581.774669442876,1012.5963136089464,1012.5963136089464,1012.5963136089464,-430.8216441660704,-430.8216441660704,-430.8216441660704,0.0,0.0,0.0,6510.033172934959
808,2015-08-25,5929.016015203991,4684.5925610239265,6739.503532084736,5929.012921065406,5929.018948080392,-219.65542931138958,-219.65542931138958,-219.65542931138958,223.28109760028798,223.28109760028798,223.28109760028798,-442.93652691167756,-442.93652691167756,-442.93652691167756,0.0,0.0,0.0,5709.360585892601
809,2015-08-26,5929.773526915897,4217.99029525228,6323.833824894811,5929.770159279488,5929.7767965294115,-657.7726253956895,-657.7726253956895,-657.7726253956895,-203.56657239928504,-203.56657239928504,-203.56657239928504,-454.20605299640437,-454.20605299640437,-454.20605299640437,0.0,0.0,0.0,5272.000901520207
810,2015-08-27,5930.531038627802,4282.62557490224,6305.272524385056,5930.527376270861,5930.534667958165,-648.1568197801112,-648.1568197801112,-648.1568197801112,-183.60100500086236,-183.60100500086236,-183.60100500086236,-464.55581477924875,-464.55581477924875,-464.55581477924875,0.0,0.0,0.0,5282.374218847692
811,2015-08-28,5931.28855033971,4451.122269951114,6638.683503486962,5931.284547854679,5931.292447793723,-408.3317472929421,-408.3317472929421,-408.3317472929421,65.55211408663631,65.55211408663631,65.55211408663631,-473.8838613795784,-473.8838613795784,-473.8838613795784,0.0,0.0,0.0,5522.956803046768
812,2015-08-29,5932.046062051616,3667.335637901251,5792.89008174582,5932.041870172854,5932.050250685416,-1201.5795526313439,-1201.5795526313439,-1201.5795526313439,-719.517640017041,-719.517640017041,-719.517640017041,-482.0619126143026,-482.0619126143026,-482.0619126143026,0.0,0.0,0.0,4730.466509420272
813,2015-08-30,5932.803573763522,4239.3348311923755,6364.571751344817,5932.799114697417,5932.808123660483,-683.6822721282142,-683.6822721282142,-683.6822721282142,-194.74430788150528,-194.74430788150528,-194.74430788150528,-488.93796424670904,-488.93796424670904,-488.93796424670904,0.0,0.0,0.0,5249.121301635308
814,2015-08-31,5933.5610854754295,5379.13882815246,7654.325481218429,5933.556319866851,5933.565988501331,518.2560895940849,518.2560895940849,518.2560895940849,1012.596313610412,1012.596313610412,1012.596313610412,-494.3402240163271,-494.3402240163271,-494.3402240163271,0.0,0.0,0.0,6451.817175069515
815,2015-09-01,5934.318597187335,4681.163403525021,6714.529626077162,5934.313531429154,5934.323809408531,-274.8011734042526,-274.8011734042526,-274.8011734042526,223.28109760204836,223.28109760204836,223.28109760204836,-498.08227100630097,-498.08227100630097,-498.08227100630097,0.0,0.0,0.0,5659.517423783082
816,2015-09-02,5935.076108899243,4214.247951935351,6330.380286474575,5935.070622024541,5935.081627375481,-703.5358593834947,-703.5358593834947,-703.5358593834947,-203.56657239899596,-203.56657239899596,-203.56657239899596,-499.9692869844985,-499.9692869844985,-499.9692869844985,0.0,0.0,0.0,5231.540249515749
817,2015-09-03,5935.833620611149,4231.5906238689895,6279.406263164343,5935.827873109574,5935.839278067823,-683.4061738199962,-683.4061738199962,-683.4061738199962,-183.60100500033232,-183.60100500033232,-183.60100500033232,-499.8051688196639,-499.8051688196639,-499.8051688196639,0.0,0.0,0.0,5252.427446791153
818,2015-09-04,5936.591132323055,4428.42224374218,6581.68236360291,5936.584784455818,5936.597012890284,-431.8481831010974,-431.8481831010974,-431.8481831010974,65.55211408704305,65.55211408704305,65.55211408704305,-497.4002971881404,-497.4002971881404,-497.4002971881404,0.0,0.0,0.0,5504.742949221957
819,2015-09-05,5937.3486440349625,3623.2917349735785,5735.566724702941,5937.341914175215,5937.354815763399,-1212.0973496636886,-1212.0973496636886,-1212.0973496636886,-719.5176400182568,-719.5176400182568,-719.5176400182568,-492.579709645432,-492.579709645432,-492.579709645432,0.0,0.0,0.0,4725.251294371274
820,2015-09-06,5938.106155746868,4109.505877687746,6351.463578303081,5938.099093986459,5938.112755588176,-679.9357145317749,-679.9357145317749,-679.9357145317749,-194.7443078833726,-194.7443078833726,-194.7443078833726,-485.1914066484022,-485.1914066484022,-485.1914066484022,0.0,0.0,0.0,5258.170441215094
821,2015-09-07,5938.863667458775,5427.780685610552,7498.55785247796,5938.856187236808,5938.870648177235,537.4818056657372,537.4818056657372,537.4818056657372,1012.5963136091761,1012.5963136091761,1012.5963136091761,-475.1145079434389,-475.1145079434389,-475.1145079434389,0.0,0.0,0.0,6476.345473124512
822,2015-09-08,5939.621179170682,4708.507454753315,6754.432686983448,5939.613220902013,5939.628951235413,-238.98587672284523,-238.98587672284523,-238.98587672284523,223.28109760114592,223.28109760114592,223.28109760114592,-462.2669743239912,-462.2669743239912,-462.2669743239912,0.0,0.0,0.0,5700.635302447837
823,2015-09-09,5940.378690882588,4215.01946495401,6362.336077740822,5940.370282070346,5940.386622079101,-650.1791886617959,-650.1791886617959,-650.1791886617959,-203.5665723989241,-203.5665723989241,-203.5665723989241,-446.6126162628718,-446.6126162628718,-446.6126162628718,0.0,0.0,0.0,5290.199502220792
824,2015-09-10,5941.1362025944945,4274.822260525744,6399.258475522716,5941.127352383172,5941.144558773303,-611.7681312482332,-611.7681312482332,-611.7681312482332,-183.60100499980226,-183.60100499980226,-183.60100499980226,-428.1671262484309,-428.1671262484309,-428.1671262484309,0.0,0.0,0.0,5329.368071346262
825,2015-09-11,5941.893714306401,4543.486185567243,6643.171665866528,5941.884764601486,5941.902627780524,-341.4507813458427,-341.4507813458427,-341.4507813458427,65.55211408524575,65.55211408524575,65.55211408524575,-407.0028954310885,-407.0028954310885,-407.0028954310885,0.0,0.0,0.0,5600.442932960558
826,2015-09-12,5942.651226018307,3726.969606714119,5945.089356111591,5942.6421107759215,5942.660578433772,-1102.7700468104713,-1102.7700468104713,-1102.7700468104713,-719.5176400189189,-719.5176400189189,-719.5176400189189,-383.2524067915523,-383.2524067915523,-383.2524067915523,0.0,0.0,0.0,4839.881179207836
827,2015-09-13,5943.408737730214,4224.546542957481,6479.295907026966,5943.399147873026,5943.418497873681,-551.8543434998977,-551.8543434998977,-551.8543434998977,-194.74430788149468,-194.74430788149468,-194.74430788149468,-357.110035618403,-357.110035618403,-357.110035618403,0.0,0.0,0.0,5391.554394230317
828,2015-09-14,5944.166249442121,5619.302101019711,7657.056486400094,5944.156328115068,5944.176491943165,683.7641810666901,683.7641810666901,683.7641810666901,1012.5963136096751,1012.5963136096751,1012.5963136096751,-328.8321325429852,-328.8321325429852,-328.8321325429852,0.0,0.0,0.0,6627.930430508811
829,2015-09-15,5944.9237611540275,4906.450372366922,6955.374613470708,5944.913262336271,5944.934429588824,-75.45421587188909,-75.45421587188909,-75.45421587188909,223.28109760071945,223.28109760071945,223.28109760071945,-298.73531347260854,-298.73531347260854,-298.73531347260854,0.0,0.0,0.0,5869.469545282139
830,2015-09-16,5945.681272865933,4451.255384881112,6509.710563824638,5945.670352362137,5945.692454547065,-470.75950546098636,-470.75950546098636,-470.75950546098636,-203.5665723989572,-203.5665723989572,-203.5665723989572,-267.19293306202917,-267.19293306202917,-267.19293306202917,0.0,0.0,0.0,5474.921767404947
831,2015-09-17,5946.438784577841,4441.222761585608,6601.243777285698,5946.427371079494,5946.450334652821,-418.2307773631761,-418.2307773631761,-418.2307773631761,-183.60100500031064,-183.60100500031064,-183.60100500031064,-234.62977236286545,-234.62977236286545,-234.62977236286545,0.0,0.0,0.0,5528.208007214665
832,2015-09-18,5947.196296289747,4753.448273518488,6820.796083841659,5947.184151092486,5947.208276251799,-135.9629113036569,-135.9629113036569,-135.9629113036569,65.55211408687632,65.55211408687632,65.55211408687632,-201.51502539053322,-201.51502539053322,-201.51502539053322,0.0,0.0,0.0,5811.23338498609
833,2015-09-19,5947.953808001653,4009.9318516622866,6142.497653211378,5947.941145718318,5947.9663057237185,-887.8713619754037,-887.8713619754037,-887.8713619754037,-719.517640018821,-719.517640018821,-719.517640018821,-168.35372195658275,-168.35372195658275,-168.35372195658275,0.0,0.0,0.0,5060.082446026249
834,2015-09-20,5948.7113197135595,4577.759736206485,6732.795122219859,5948.698201185828,5948.724293215406,-330.42108153296425,-330.42108153296425,-330.42108153296425,-194.7443078808823,-194.7443078808823,-194.7443078808823,-135.67677365208186,-135.67677365208186,-135.67677365208186,0.0,0.0,0.0,5618.290238180595
835,2015-09-21,5949.468831425466,5793.204732089891,7893.619161095723,5949.455363948657,5949.482264645382,908.5664387800401,908.5664387800401,908.5664387800401,1012.5963136101743,1012.5963136101743,1012.5963136101743,-104.02987483013415,-104.02987483013415,-104.02987483013415,0.0,0.0,0.0,6858.035270205506
836,2015-09-22,5950.226343137372,4937.040031557336,7186.655310872918,5950.212468825097,5950.240089531127,149.31956814484877,149.31956814484877,149.31956814484877,223.28109759934088,223.28109759934088,223.28109759934088,-73.9615294544921,-73.9615294544921,-73.9615294544921,0.0,0.0,0.0,6099.545911282221
837,2015-09-23,5950.98385484928,4614.426521518871,6746.744515072005,5950.969579323368,5950.997904500386,-249.5770789189545,-249.5770789189545,-249.5770789189545,-203.56657239888537,-203.56657239888537,-203.56657239888537,-46.0105065200691,-46.0105065200691,-46.0105065200691,0.0,0.0,0.0,5701.406775930325
838,2015-09-24,5951.741366561186,4695.088593723991,6817.7212171026595,5951.726642737455,5951.755820245635,-204.29405540474275,-204.29405540474275,-204.29405540474275,-183.60100500045246,-183.60100500045246,-183.60100500045246,-20.693050404290272,-20.693050404290272,-20.693050404290272,0.0,0.0,0.0,5747.447311156443
839,2015-09-25,5952.498878273092,4986.423288991221,7098.2137527437935,5952.483777993219,5952.513748827217,67.06192691757222,67.06192691757222,67.06192691757222,65.55211408618099,65.55211408618099,65.55211408618099,1.5098128313912367,1.5098128313912367,1.5098128313912367,0.0,0.0,0.0,6019.560805190664
840,2015-09-26,5953.256389984999,4230.702998131291,6288.6150978345595,5953.240842900648,5953.271695665166,-699.353112976263,-699.353112976263,-699.353112976263,-719.5176400181693,-719.5176400181693,-719.5176400181693,20.164527041906386,20.164527041906386,20.164527041906386,0.0,0.0,0.0,5253.903277008736
841,2015-09-27,5954.013901696905,4644.397725061615,6862.016145667424,5953.997815535798,5954.029698044591,-159.84783386125267,-159.84783386125267,-159.84783386125267,-194.74430787900445,-194.74430787900445,-194.74430787900445,34.89647401775179,34.89647401775179,34.89647401775179,0.0,0.0,0.0,5794.166067835652
842,2015-09-28,5954.771413408813,5941.805792110357,8027.102828914636,5954.7550211782045,5954.787872353447,1057.996644512869,1057.996644512869,1057.996644512869,1012.5963136099049,1012.5963136099049,1012.5963136099049,45.40033090296388,45.40033090296388,45.40033090296388,0.0,0.0,0.0,7012.768057921681
843,2015-09-29,5955.528925120719,5167.7237132840855,7330.164019218849,5955.511921403068,5955.545909568564,274.7301115504995,274.7301115504995,274.7301115504995,223.28109760110112,223.28109760110112,223.28109760110112,51.449013949398335,51.449013949398335,51.449013949398335,0.0,0.0,0.0,6230.259036671218
